year,Month,Make,Model,Units Sold
2016,8,Hyundai,Elantra,"20,733"
2016,9,Hyundai,Elantra,"19,382"
2016,10,Hyundai,Elantra,"15,917"
2016,11,Hyundai,Elantra,"15,796"
2016,12,Hyundai,Elantra,"19,556"
2016,1,Hyundai,Santa fe,"5,139"
2016,2,Hyundai,Santa fe,"5,532"
2016,3,Hyundai,Santa fe,"6,546"
2016,4,Hyundai,Santa fe,"7,150"
2016,5,Hyundai,Santa fe,"14,732"
2016,6,Hyundai,Santa fe,"18,345"
2016,7,Hyundai,Santa fe,"14,336"
2016,8,Hyundai,Santa fe,"15,176"
2016,9,Hyundai,Santa fe,"11,350"
2016,10,Hyundai,Santa fe,"11,311"
2016,11,Hyundai,Santa fe,"10,786"
2016,12,Hyundai,Santa fe,"10,862"
2017,1,Hyundai,Accent,"7,062"
2017,2,Hyundai,Accent,"3,352"
2017,3,Hyundai,Accent,"4,349"
2017,4,Hyundai,Accent,"6,951"
2017,5,Hyundai,Accent,"5,773"
2017,6,Hyundai,Accent,"5,028"
2017,7,Hyundai,Accent,"2,115"
2017,8,Hyundai,Accent,"2,632"
2017,9,Hyundai,Accent,"7,379"
2017,10,Hyundai,Accent,"5,485"
2017,11,Hyundai,Accent,"3,624"
2017,12,Hyundai,Accent,"5,205"
2017,1,Hyundai,Elantra,"13,185"
2017,2,Hyundai,Elantra,"15,954"
2017,3,Hyundai,Elantra,"25,063"
2017,4,Hyundai,Elantra,"16,346"
2017,5,Hyundai,Elantra,"16,407"
2017,6,Hyundai,Elantra,"13,297"
2017,7,Hyundai,Elantra,"13,287"
2017,8,Hyundai,Elantra,"15,127"
2017,9,Hyundai,Elantra,"14,401"
2017,10,Hyundai,Elantra,"14,733"
2017,11,Hyundai,Elantra,"19,060"
2017,12,Hyundai,Elantra,"21,350"
2017,1,Hyundai,Santa fe,"7,889"
2017,2,Hyundai,Santa fe,"8,767"
2017,3,Hyundai,Santa fe,"11,446"
2017,4,Hyundai,Santa fe,"9,480"
2017,5,Hyundai,Santa fe,"9,844"
2017,6,Hyundai,Santa fe,"12,586"
2017,7,Hyundai,Santa fe,"12,749"
2017,8,Hyundai,Santa fe,"11,474"
2017,9,Hyundai,Santa fe,"11,420"
2017,10,Hyundai,Santa fe,"13,024"
2017,11,Hyundai,Santa fe,"11,346"
2017,12,Hyundai,Santa fe,"13,146"
2018,1,Hyundai,Accent,"2,429"
2018,2,Hyundai,Accent,"2,080"
2018,3,Hyundai,Accent,"2,909"
2018,4,Hyundai,Accent,"2,816"
2018,5,Hyundai,Accent,"2,471"
2018,6,Hyundai,Accent,"2,120"
2018,7,Hyundai,Accent,"1,873"
2018,8,Hyundai,Accent,"2,586"
2018,9,Hyundai,Accent,"2,536"
2018,10,Hyundai,Accent,"1,483"
2018,11,Hyundai,Accent,"1,957"
2018,12,Hyundai,Accent,"3,830"
2018,1,Hyundai,Elantra,"14,017"
2018,2,Hyundai,Elantra,"15,724"
2018,3,Hyundai,Elantra,"17,323"
2018,4,Hyundai,Elantra,"14,044"
2018,5,Hyundai,Elantra,"20,762"
2018,6,Hyundai,Elantra,"17,858"
2018,7,Hyundai,Elantra,"13,753"
2018,8,Hyundai,Elantra,"15,475"
2018,9,Hyundai,Elantra,"19,923"
2018,10,Hyundai,Elantra,"18,312"
2018,11,Hyundai,Elantra,"18,148"
2018,12,Hyundai,Elantra,"15,076"
2018,1,Hyundai,Ioniq,973
2018,2,Hyundai,Ioniq,"1,156"
2018,3,Hyundai,Ioniq,"1,669"
2018,4,Hyundai,Ioniq,"1,789"
2018,5,Hyundai,Ioniq,"1,506"
2018,6,Hyundai,Ioniq,"1,506"
2018,7,Hyundai,Ioniq,"1,198"
2018,8,Hyundai,Ioniq,945
2018,9,Hyundai,Ioniq,864
2018,10,Hyundai,Ioniq,"1,121"
2018,11,Hyundai,Ioniq,"1,074"
2018,12,Hyundai,Ioniq,"1,275"
2018,1,Hyundai,Kona,0
2018,2,Hyundai,Kona,199
2018,3,Hyundai,Kona,"2,360"
2018,4,Hyundai,Kona,"3,315"
2018,5,Hyundai,Kona,"5,079"
2018,6,Hyundai,Kona,"4,240"
2018,7,Hyundai,Kona,"4,173"
2018,8,Hyundai,Kona,"4,772"
2018,9,Hyundai,Kona,"4,327"
2018,10,Hyundai,Kona,"4,330"
2018,11,Hyundai,Kona,"5,976"
2018,12,Hyundai,Kona,"8,319"
2018,1,Hyundai,Santa fe,"7,677"
