year,Month,Make,Model,Units Sold
2014,11,Ford,Edge,"7,648"
2014,12,Ford,Edge,"7,940"
2014,1,Ford,Escape,"19,459"
2014,2,Ford,Escape,"23,145"
2014,3,Ford,Escape,"28,701"
2014,4,Ford,Escape,"24,579"
2014,5,Ford,Escape,"31,896"
2014,6,Ford,Escape,"25,110"
2014,7,Ford,Escape,"26,558"
2014,8,Ford,Escape,"28,993"
2014,9,Ford,Escape,"21,718"
2014,10,Ford,Escape,"24,919"
2014,11,Ford,Escape,"25,528"
2014,12,Ford,Escape,"25,603"
2014,1,Ford,Expedition,"2,139"
2014,2,Ford,Expedition,"2,830"
2014,3,Ford,Expedition,"3,720"
2014,4,Ford,Expedition,"3,764"
2014,5,Ford,Expedition,"5,025"
2014,6,Ford,Expedition,"4,621"
2014,7,Ford,Expedition,"4,371"
2014,8,Ford,Expedition,"2,623"
2014,9,Ford,Expedition,"3,598"
2014,10,Ford,Expedition,"3,720"
2014,11,Ford,Expedition,"3,982"
2014,12,Ford,Expedition,"4,239"
2015,1,Ford,Fiesta,"3,454"
2015,2,Ford,Fiesta,"3,708"
2015,3,Ford,Fiesta,"4,948"
2015,4,Ford,Fiesta,"5,982"
2015,5,Ford,Fiesta,"9,426"
2015,6,Ford,Fiesta,"7,971"
2015,7,Ford,Fiesta,"5,491"
2015,8,Ford,Fiesta,"5,892"
2015,9,Ford,Fiesta,"6,996"
2015,10,Ford,Fiesta,"3,618"
2015,11,Ford,Fiesta,"3,422"
2015,12,Ford,Fiesta,"3,550"
2015,1,Ford,Explorer,"17,036"
2015,2,Ford,Explorer,"18,613"
2015,3,Ford,Explorer,"23,058"
2015,4,Ford,Explorer,"18,844"
2015,5,Ford,Explorer,"22,304"
2015,6,Ford,Explorer,"22,549"
2015,7,Ford,Explorer,"23,381"
2015,8,Ford,Explorer,"23,671"
2015,9,Ford,Explorer,"20,715"
2015,10,Ford,Explorer,"20,723"
2015,11,Ford,Explorer,"16,690"
2015,12,Ford,Explorer,"21,667"
2015,1,Ford,Mustang,"8,694"
2015,2,Ford,Mustang,"8,454"
2015,3,Ford,Mustang,"12,663"
2015,4,Ford,Mustang,"13,144"
2015,5,Ford,Mustang,"13,616"
2015,6,Ford,Mustang,"11,719"
2015,7,Ford,Mustang,"8,482"
2015,8,Ford,Mustang,"9,997"
2015,9,Ford,Mustang,"9,456"
2015,10,Ford,Mustang,"10,096"
2015,11,Ford,Mustang,"7,286"
2015,12,Ford,Mustang,"8,742"
2015,1,Ford,E series,"3,249"
2015,2,Ford,E series,"4,371"
2015,3,Ford,E series,"6,192"
2015,4,Ford,E series,"4,753"
2015,5,Ford,E series,"4,355"
2015,6,Ford,E series,"4,799"
2015,7,Ford,E series,"3,337"
2015,8,Ford,E series,"3,822"
2015,9,Ford,E series,"3,980"
2015,10,Ford,E series,"4,034"
2015,11,Ford,E series,"3,927"
2015,12,Ford,E series,"3,722"
2015,1,Ford,Edge,"7,581"
2015,2,Ford,Edge,"6,526"
2015,3,Ford,Edge,"9,405"
2015,4,Ford,Edge,"13,097"
2015,5,Ford,Edge,"14,399"
2015,6,Ford,Edge,"12,587"
2015,7,Ford,Edge,"10,020"
2015,8,Ford,Edge,"11,832"
2015,9,Ford,Edge,"10,262"
2015,10,Ford,Edge,"10,011"
2015,11,Ford,Edge,"8,137"
2015,12,Ford,Edge,"10,263"
2015,1,Ford,Escape,"20,054"
2015,2,Ford,Escape,"20,915"
2015,3,Ford,Escape,"26,303"
2015,4,Ford,Escape,"25,770"
2015,5,Ford,Escape,"29,248"
2015,6,Ford,Escape,"24,126"
2015,7,Ford,Escape,"29,253"
2015,8,Ford,Escape,"28,870"
2015,9,Ford,Escape,"28,473"
2015,10,Ford,Escape,"24,719"
2015,11,Ford,Escape,"20,807"
2015,12,Ford,Escape,"27,954"
2015,1,Ford,Expedition,"2,460"
2015,2,Ford,Expedition,"3,277"
2015,3,Ford,Expedition,"3,865"
2015,4,Ford,Expedition,"3,082"
2015,5,Ford,Expedition,"4,147"
2015,6,Ford,Expedition,"4,032"
2015,7,Ford,Expedition,"2,730"
2015,8,Ford,Expedition,"3,401"
2015,9,Ford,Expedition,"3,489"
2015,10,Ford,Expedition,"3,924"
2015,11,Ford,Expedition,"2,980"
2015,12,Ford,Expedition,"4,056"
2016,1,Ford,Fiesta,"2,560"
2016,2,Ford,Fiesta,"3,754"
2016,3,Ford,Fiesta,"4,549"
2016,4,Ford,Fiesta,"4,462"
2016,5,Ford,Fiesta,"6,150"
2016,6,Ford,Fiesta,"4,064"
2016,7,Ford,Fiesta,"4,092"
2016,8,Ford,Fiesta,"4,946"
2016,9,Ford,Fiesta,"4,230"
2016,10,Ford,Fiesta,"3,381"
2016,11,Ford,Fiesta,"2,847"
2016,12,Ford,Fiesta,"3,772"
2016,1,Ford,Explorer,"16,614"
2016,2,Ford,Explorer,"22,389"
2016,3,Ford,Explorer,"24,412"
2016,4,Ford,Explorer,"23,546"
2016,5,Ford,Explorer,"21,790"
2016,6,Ford,Explorer,"20,356"
2016,7,Ford,Explorer,"19,192"
2016,8,Ford,Explorer,"20,980"
2016,9,Ford,Explorer,"19,146"
2016,10,Ford,Explorer,"18,597"
2016,11,Ford,Explorer,"19,628"
2016,12,Ford,Explorer,"21,857"
2016,1,Ford,Mustang,"7,580"
2016,2,Ford,Mustang,"9,993"
2016,3,Ford,Mustang,"12,563"
2016,4,Ford,Mustang,"12,726"
2016,5,Ford,Mustang,"10,327"
2016,6,Ford,Mustang,"9,776"
2016,7,Ford,Mustang,"9,565"
2016,8,Ford,Mustang,"8,299"
2016,9,Ford,Mustang,"6,429"
2016,10,Ford,Mustang,"5,414"
2016,11,Ford,Mustang,"6,196"
2016,12,Ford,Mustang,"7,064"
2016,1,Ford,E series,"2,959"
2016,2,Ford,E series,"3,873"
2016,3,Ford,E series,"5,816"
2016,4,Ford,E series,"5,530"
2016,5,Ford,E series,"3,985"
2016,6,Ford,E series,"5,232"
2016,7,Ford,E series,"4,011"
2016,8,Ford,E series,"4,716"
2016,9,Ford,E series,"4,073"
2016,10,Ford,E series,"4,592"
2016,11,Ford,E series,"4,705"
2016,12,Ford,E series,"4,753"
2016,1,Ford,Edge,"9,533"
2016,2,Ford,Edge,"12,455"
2016,3,Ford,Edge,"14,005"
2016,4,Ford,Edge,"11,484"
2016,5,Ford,Edge,"12,384"
2016,6,Ford,Edge,"11,177"
2016,7,Ford,Edge,"10,512"
2016,8,Ford,Edge,"11,204"
2016,9,Ford,Edge,"10,322"
2016,10,Ford,Edge,"8,064"
2016,11,Ford,Edge,"10,757"
2016,12,Ford,Edge,"12,691"
2016,1,Ford,Escape,"19,219"
2016,2,Ford,Escape,"23,854"
2016,3,Ford,Escape,"28,521"
2016,4,Ford,Escape,"23,920"
2016,5,Ford,Escape,"30,861"
2016,6,Ford,Escape,"29,003"
2016,7,Ford,Escape,"26,260"
2016,8,Ford,Escape,"28,061"
2016,9,Ford,Escape,"25,065"
2016,10,Ford,Escape,"23,505"
2016,11,Ford,Escape,"23,012"
2016,12,Ford,Escape,"25,788"
2016,1,Ford,Expedition,"2,855"
2016,2,Ford,Expedition,"3,984"
2016,3,Ford,Expedition,"3,834"
2016,4,Ford,Expedition,"4,521"
2016,5,Ford,Expedition,"5,057"
2016,6,Ford,Expedition,"7,507"
2016,7,Ford,Expedition,"5,963"
2016,8,Ford,Expedition,"5,725"
2016,9,Ford,Expedition,"6,033"
2016,10,Ford,Expedition,"3,893"
2016,11,Ford,Expedition,"5,204"
2016,12,Ford,Expedition,"5,259"
2017,1,Ford,Fiesta,"3,575"
2017,2,Ford,Fiesta,"3,981"
2017,3,Ford,Fiesta,"5,488"
2017,4,Ford,Fiesta,"3,329"
2017,5,Ford,Fiesta,"4,181"
2017,6,Ford,Fiesta,"4,026"
2017,7,Ford,Fiesta,"3,582"
2017,8,Ford,Fiesta,"4,247"
2017,9,Ford,Fiesta,"3,730"
2017,10,Ford,Fiesta,"3,418"
2017,11,Ford,Fiesta,"3,035"
2017,12,Ford,Fiesta,"3,657"
2017,1,Ford,Explorer,"17,650"
2017,2,Ford,Explorer,"21,696"
2017,3,Ford,Explorer,"23,424"
2017,4,Ford,Explorer,"22,864"
2017,5,Ford,Explorer,"25,632"
2017,6,Ford,Explorer,"24,285"
2017,7,Ford,Explorer,"21,529"
2017,8,Ford,Explorer,"20,747"
2017,9,Ford,Explorer,"21,207"
2017,10,Ford,Explorer,"19,421"
2017,11,Ford,Explorer,"24,110"
2017,12,Ford,Explorer,"28,566"
2017,1,Ford,Mustang,"5,046"
2017,2,Ford,Mustang,"8,298"
2017,3,Ford,Mustang,"9,120"
2017,4,Ford,Mustang,"8,063"
2017,5,Ford,Mustang,"7,895"
2017,6,Ford,Mustang,"6,186"
2017,7,Ford,Mustang,"6,206"
2017,8,Ford,Mustang,"5,535"
2017,9,Ford,Mustang,"5,847"
2017,10,Ford,Mustang,"5,236"
2017,11,Ford,Mustang,"6,720"
2017,12,Ford,Mustang,"7,714"
2017,1,Ford,E series,"3,290"
2017,2,Ford,E series,"4,016"
2017,3,Ford,E series,"4,769"
2017,4,Ford,E series,"5,199"
2017,5,Ford,E series,"5,389"
2017,6,Ford,E series,"4,951"
2017,7,Ford,E series,"3,316"
2017,8,Ford,E series,"4,894"
2017,9,Ford,E series,"4,810"
2017,10,Ford,E series,"4,265"
2017,11,Ford,E series,"4,494"
2017,12,Ford,E series,"3,911"
2017,1,Ford,Edge,"9,091"
2017,2,Ford,Edge,"11,126"
2017,3,Ford,Edge,"11,730"
2017,4,Ford,Edge,"12,147"
2017,5,Ford,Edge,"13,752"
2017,6,Ford,Edge,"13,411"
2017,7,Ford,Edge,"11,156"
2017,8,Ford,Edge,"10,838"
2017,9,Ford,Edge,"11,476"
2017,10,Ford,Edge,"11,036"
2017,11,Ford,Edge,"13,180"
2017,12,Ford,Edge,"13,660"
2017,1,Ford,Escape,"20,588"
2017,2,Ford,Escape,"27,637"
2017,3,Ford,Escape,"28,113"
2017,4,Ford,Escape,"25,637"
2017,5,Ford,Escape,"27,830"
2017,6,Ford,Escape,"27,151"
2017,7,Ford,Escape,"27,716"
2017,8,Ford,Escape,"23,631"
2017,9,Ford,Escape,"25,575"
2017,10,Ford,Escape,"23,064"
2017,11,Ford,Escape,"25,101"
2017,12,Ford,Escape,"26,253"
2017,1,Ford,Expedition,"4,064"
2017,2,Ford,Expedition,"5,906"
2017,3,Ford,Expedition,"5,472"
2017,4,Ford,Expedition,"5,116"
2017,5,Ford,Expedition,"5,758"
2017,6,Ford,Expedition,"4,801"
2017,7,Ford,Expedition,"3,617"
2017,8,Ford,Expedition,"2,819"
2017,9,Ford,Expedition,"2,848"
2017,10,Ford,Expedition,"2,074"
2017,11,Ford,Expedition,"3,950"
2017,12,Ford,Expedition,"5,458"
2018,1,Ford,Fiesta,"3,775"
2018,2,Ford,Fiesta,"3,559"
2018,3,Ford,Fiesta,"4,964"
2018,4,Ford,Fiesta,"3,151"
2018,5,Ford,Fiesta,"5,110"
2018,6,Ford,Fiesta,"4,800"
2018,7,Ford,Fiesta,"3,928"
2018,8,Ford,Fiesta,"3,938"
2018,9,Ford,Fiesta,"3,293"
2018,10,Ford,Fiesta,"5,665"
2018,11,Ford,Fiesta,"5,238"
2018,12,Ford,Fiesta,"4,309"
2018,1,Ford,Explorer,"17,989"
2018,2,Ford,Explorer,"20,860"
2018,3,Ford,Explorer,"23,955"
2018,4,Ford,Explorer,"20,865"
2018,5,Ford,Explorer,"22,676"
2018,6,Ford,Explorer,"22,361"
2018,7,Ford,Explorer,"22,782"
2018,8,Ford,Explorer,"24,035"
2018,9,Ford,Explorer,"21,347"
2018,10,Ford,Explorer,"21,935"
2018,11,Ford,Explorer,"20,473"
2018,12,Ford,Explorer,"22,293"
2018,1,Ford,Mustang,"4,732"
2018,2,Ford,Mustang,"5,800"
2018,3,Ford,Mustang,"8,632"
2018,4,Ford,Mustang,"7,125"
2018,5,Ford,Mustang,"8,739"
2018,6,Ford,Mustang,"7,400"
2018,7,Ford,Mustang,"5,934"
2018,8,Ford,Mustang,"7,487"
2018,9,Ford,Mustang,"5,770"
2018,10,Ford,Mustang,"4,924"
2018,11,Ford,Mustang,"4,907"
2018,12,Ford,Mustang,"4,392"
2018,1,Ford,E series,"5,105"
2018,2,Ford,E series,"3,604"
2018,3,Ford,E series,"5,184"
2018,4,Ford,E series,"3,981"
2018,5,Ford,E series,"3,907"
2018,6,Ford,E series,"3,724"
2018,7,Ford,E series,"3,713"
2018,8,Ford,E series,"4,020"
2018,9,Ford,E series,"3,311"
2018,10,Ford,E series,"3,901"
2018,11,Ford,E series,"4,337"
2018,12,Ford,E series,"3,149"
2018,1,Ford,Edge,"8,519"
2018,2,Ford,Edge,"10,216"
2018,3,Ford,Edge,"13,919"
2018,4,Ford,Edge,"11,240"
2018,5,Ford,Edge,"12,332"
2018,6,Ford,Edge,"11,822"
2018,7,Ford,Edge,"10,150"
2018,8,Ford,Edge,"11,563"
2018,9,Ford,Edge,"9,177"
2018,10,Ford,Edge,"10,264"
2018,11,Ford,Edge,"9,787"
2018,12,Ford,Edge,"15,133"
2018,1,Ford,Escape,"18,947"
2018,2,Ford,Escape,"21,033"
2018,3,Ford,Escape,"27,370"
2018,4,Ford,Escape,"21,383"
2018,5,Ford,Escape,"26,993"
2018,6,Ford,Escape,"28,901"
2018,7,Ford,Escape,"20,630"
2018,8,Ford,Escape,"24,395"
2018,9,Ford,Escape,"20,398"
2018,10,Ford,Escape,"20,515"
2018,11,Ford,Escape,"21,516"
2018,12,Ford,Escape,"20,147"
2018,1,Ford,Expedition,"3,439"
2018,2,Ford,Expedition,"4,358"
2018,3,Ford,Expedition,"5,653"
2018,4,Ford,Expedition,"3,976"
2018,5,Ford,Expedition,"5,223"
2018,6,Ford,Expedition,"5,285"
2018,7,Ford,Expedition,"3,475"
2018,8,Ford,Expedition,"5,485"
2018,9,Ford,Expedition,"3,627"
2018,10,Ford,Expedition,"3,623"
2018,11,Ford,Expedition,"4,264"
2018,12,Ford,Expedition,"6,253"
2019,1,Ford,Fiesta,"5,244"
2019,2,Ford,Fiesta,"5,035"
2019,3,Ford,Fiesta,"5,664"
2019,4,Ford,Fiesta,"7,206"
2019,5,Ford,Fiesta,"8,315"
2019,6,Ford,Fiesta,"6,652"
2019,7,Ford,Fiesta,"4,841"
2019,8,Ford,Fiesta,"5,422"
2019,9,Ford,Fiesta,"4,454"
2019,10,Ford,Fiesta,"2,409"
2019,11,Ford,Fiesta,"2,497"
2019,12,Ford,Fiesta,"2,409"
2019,1,Ford,Explorer,"20,369"
2019,2,Ford,Explorer,"19,554"
2019,3,Ford,Explorer,"21,999"
2019,4,Ford,Explorer,"12,968"
2019,5,Ford,Explorer,"14,963"
2019,6,Ford,Explorer,"11,970"
2019,7,Ford,Explorer,"11,169"
2019,8,Ford,Explorer,"12,509"
2019,9,Ford,Explorer,"10,276"
2019,10,Ford,Explorer,"16,887"
2019,11,Ford,Explorer,"17,511"
2019,12,Ford,Explorer,"16,886"
2019,1,Ford,Mustang,"5,565"
2019,2,Ford,Mustang,"5,342"
2019,3,Ford,Mustang,"6,010"
2019,4,Ford,Mustang,"7,028"
2019,5,Ford,Mustang,"8,109"
2019,6,Ford,Mustang,"6,488"
2019,7,Ford,Mustang,"5,534"
2019,8,Ford,Mustang,"6,198"
2019,9,Ford,Mustang,"5,091"
2019,10,Ford,Mustang,"5,639"
2019,11,Ford,Mustang,"5,847"
2019,12,Ford,Mustang,"5,638"
2019,1,Ford,E series,"3,550"
2019,2,Ford,E series,"3,408"
2019,3,Ford,E series,"3,834"
2019,4,Ford,E series,"3,757"
2019,5,Ford,E series,"4,335"
2019,6,Ford,E series,"3,468"
2019,7,Ford,E series,"3,248"
2019,8,Ford,E series,"3,638"
2019,9,Ford,E series,"2,988"
2019,10,Ford,E series,"4,227"
2019,11,Ford,E series,"4,383"
2019,12,Ford,E series,"4,227"
2019,1,Ford,Edge,"10,171"
2019,2,Ford,Edge,"9,764"
2019,3,Ford,Edge,"10,985"
2019,4,Ford,Edge,"10,827"
2019,5,Ford,Edge,"12,493"
2019,6,Ford,Edge,"9,994"
2019,7,Ford,Edge,"12,059"
2019,8,Ford,Edge,"13,506"
2019,9,Ford,Edge,"11,094"
2019,10,Ford,Edge,"12,388"
2019,11,Ford,Edge,"12,846"
2019,12,Ford,Edge,"12,387"
2019,1,Ford,Escape,"19,968"
2019,2,Ford,Escape,"19,169"
2019,3,Ford,Escape,"21,565"
2019,4,Ford,Escape,"23,529"
2019,5,Ford,Escape,"27,149"
2019,6,Ford,Escape,"21,719"
2019,7,Ford,Escape,"19,967"
2019,8,Ford,Escape,"22,364"
2019,9,Ford,Escape,"18,370"
2019,10,Ford,Escape,"15,669"
2019,11,Ford,Escape,"16,249"
2019,12,Ford,Escape,"15,669"
2019,1,Ford,Expedition,"7,162"
2019,2,Ford,Expedition,"6,876"
2019,3,Ford,Expedition,"7,735"
